id,age,political_orientation,political_interest,np_subscription,news consumption,experiment_group,trust_t1,trust_t2,trust_t1_item1,trust_t1_item2,trust_t1_item3,trust_t1_item4,trust_t1_item5,trust_t2_item1,trust_t2_item2,trust_t2_item3,trust_t2_item4,trust_t2_item5
67,63,center,4.669785909367202,yes,18,positive,5.25,4.75,5,3,5,4,6,5,4,6,4,5
68,34,center,3.5652499212147495,yes,14,negative,5,5,5,5,5,4,5,5,3,6,5,5
69,53,right,2.9419520902718346,no,11,control,3.75,4.75,4,4,8,4,4,5,3,6,4,5
70,20,left,2.8986727387807814,no,8,negative,4.25,1.75,4,2,8,4,6,2,4,9,2,1
71,29,center,3.718470930684118,yes,14,negative,5.75,5.25,6,4,5,5,6,5,5,7,5,7
72,39,right,2.726814368365708,yes,15,positive,2.25,3.5,2,2,8,2,2,4,4,7,2,4
73,44,center,4.0049576855391145,yes,16,positive,4.5,5.25,4,1,7,4,6,5,3,6,5,6
74,59,left,6.27141683887335,yes,15,positive,5.5,4.5,5,3,5,4,7,5,5,7,4,5
75,34,right,3.6185891810644084,yes,15,negative,3.75,2,3,3,7,4,4,3,3,10,2,2
76,28,left,2.148326418126297,yes,15,negative,3.5,3,3,1,8,4,4,3,3,7,2,3
77,37,center,2.506774892619804,yes,15,positive,4,4.5,4,3,6,3,4,5,1,7,4,5
78,63,left,3.670319324511806,yes,21,control,4.75,6.5,5,2,7,5,5,6,4,5,6,8
79,49,right,3.631845454891257,yes,19,positive,5.5,6.75,5,4,5,5,6,6,1,3,6,7
80,26,left,2.8543309946496427,yes,16,positive,4.75,4.25,4,2,5,4,5,4,4,7,4,5
81,23,left,1.5583094512922642,no,13,positive,4.5,4.75,5,2,7,4,5,5,6,6,4,5
82,63,right,5.277864063232253,yes,19,control,5,6.25,5,1,7,5,6,6,2,4,6,6
83,21,right,1.4762557463328825,no,15,control,3.25,5.25,3,2,7,3,3,5,5,5,4,6
84,30,center,4.245625830549232,no,16,negative,3.5,3.75,3,1,7,3,4,4,2,7,3,4
85,34,right,4.610947667652315,no,8,negative,3.75,4,3,3,7,3,5,4,3,7,4,4
86,38,center,4.7342154241779095,no,12,positive,5.25,6,5,2,6,5,6,5,2,4,5,7
87,59,center,4.3583408017347445,yes,21,positive,5,5.5,5,2,6,4,6,6,5,5,4,6
88,63,center,5.771745320562013,no,9,negative,6.5,6,6,2,4,6,7,6,2,5,5,7
89,54,center,4.158937096416334,no,15,negative,5.5,4.5,5,4,5,5,6,4,4,6,4,5
90,44,center,3.495154434888718,yes,18,positive,4.25,3,4,4,6,4,4,3,1,8,3,3
91,22,right,4.480420500517816,yes,14,negative,4,4.5,4,2,7,4,4,4,1,6,4,5
92,44,center,1.4144317045874046,no,13,control,5.25,4.75,6,2,6,5,5,5,5,6,4,5
93,34,center,4.369239720403309,no,7,negative,5.5,4,5,5,6,6,6,5,2,8,4,4
94,28,center,3.5446872459434235,no,12,negative,4,2.25,4,1,7,3,5,2,2,8,2,2
95,40,right,3.85631594394056,yes,16,control,5.25,7,5,3,6,5,6,7,3,4,6,8
96,62,center,2.046082482204545,no,13,positive,4.25,4.75,3,2,6,4,5,5,3,6,4,5
97,19,left,3.3135925565987865,yes,15,control,4.25,4.25,5,4,6,3,4,4,1,6,4,4
98,57,center,5.076067128166581,yes,14,positive,5.25,7.75,5,3,4,4,5,8,3,3,7,8
99,35,center,3.923472856001939,no,17,positive,5,5.25,6,5,5,3,5,5,4,5,4,6
100,44,right,2.5203726854144635,yes,15,negative,4.5,3.25,5,5,7,4,5,3,1,8,3,4
101,51,center,5.058803195735737,no,10,control,5.25,5,6,4,7,5,6,5,1,5,4,5
102,59,right,4.085144125641176,no,17,negative,4.25,2.25,5,1,7,3,5,2,3,9,2,3
103,35,center,2.7188747016885504,yes,17,negative,3,3.25,3,3,9,3,4,3,2,8,3,4
104,61,left,4.056308691880025,yes,23,positive,5.5,7.5,5,3,5,5,6,7,6,3,6,9
105,21,right,4.69607147765464,no,11,control,3.75,3.5,3,2,6,3,4,3,4,8,4,4
106,63,right,2.5339415514071435,yes,19,control,3.75,5.25,4,3,8,4,4,5,4,6,5,6
107,41,center,5.617952206136561,no,12,positive,3,4.5,3,4,8,3,3,5,2,6,3,5
108,59,right,5.226907875709357,yes,16,negative,3.75,3,4,5,8,4,4,3,3,8,3,3
109,24,center,5.10219828842894,yes,15,negative,4.25,2.75,4,4,7,4,5,2,3,8,3,3
110,62,right,4.892728330365897,yes,17,negative,4.25,4.5,4,2,7,4,5,4,6,6,4,5
111,24,center,5.3623866446594075,no,14,control,5.5,6.75,6,4,6,5,6,6,6,4,6,8
112,25,left,4.2277027409667385,no,8,negative,3.25,1.75,3,3,7,2,4,1,3,9,2,2
113,22,right,4.0221714285201005,no,10,negative,4.5,1.5,5,4,7,4,5,2,2,10,1,2
114,32,left,4.198451667965282,no,10,negative,4.25,3.25,4,2,7,4,5,3,1,7,3,3
115,48,left,3.737282367576528,yes,15,positive,5,5.5,5,3,6,5,5,6,1,6,5,6
116,39,center,5.1795898337197,yes,19,negative,4,3.75,4,2,6,2,5,3,1,7,3,5
117,38,left,3.9030447043339707,no,9,negative,4.25,3.5,4,2,6,4,4,4,3,7,2,4
118,41,right,4.0567121228098655,yes,15,negative,3.75,3,4,3,8,4,4,3,1,8,3,3
119,22,center,3.329366256385748,yes,15,negative,4,3.75,3,1,6,4,4,4,4,8,4,4
120,20,center,2.375179082214707,no,13,positive,2.5,3.25,3,3,9,2,3,3,1,8,3,4
121,43,left,3.7191655706142748,no,12,positive,4.5,3.5,5,2,7,4,5,3,1,8,4,4
122,37,center,4.257965423425723,yes,14,control,4.25,5.25,4,2,7,4,5,5,4,6,5,6
123,28,left,4.262911558656224,no,5,control,4.25,4.25,4,1,7,5,4,4,1,8,5,5
124,64,center,4.655201067608868,yes,21,positive,4.5,5.25,4,3,7,4,6,4,5,5,6,5
125,58,right,2.6277295616306655,yes,16,control,4.25,5,4,4,7,4,5,5,5,6,4,6
126,63,center,4.272513563674427,yes,17,negative,4.5,3.25,5,5,7,4,5,2,2,7,3,4
127,63,left,4.260700409668766,yes,17,negative,4,3.25,3,1,7,4,5,4,3,8,3,3
128,56,right,4.070595870338174,yes,18,control,4,5.75,4,2,8,4,5,5,3,4,5,6
129,NA,right,1.8316941128973216,no,13,negative,3,2,3,1,8,3,3,2,1,8,1,2
130,30,left,3.206707500569594,no,7,positive,3.25,2.25,4,3,9,3,4,1,3,8,2,3
131,60,right,3.3925722686648316,yes,16,control,4.5,4.25,4,5,6,4,5,4,4,6,3,5
132,37,center,3.460061134397221,no,14,positive,3,4,4,1,8,2,3,3,5,6,4,4
133,57,center,4.147559449499789,yes,17,negative,3.5,3.75,3,3,8,4,4,3,2,7,3,5
134,54,right,3.897309345973405,yes,21,positive,2.75,3.5,3,1,8,2,3,4,1,7,2,4
135,20,left,3.307954496468108,no,11,positive,3.75,6,5,1,8,3,4,6,4,5,5,7
136,37,left,2.4686065630332523,yes,18,control,5.25,6,5,6,6,5,6,6,6,5,5,7
137,35,left,3.036521130749821,no,10,control,4.75,7,5,2,6,4,5,7,6,4,6,8
138,58,right,5.090544837414707,yes,18,negative,2.25,2.25,2,1,8,1,3,2,1,9,3,2
139,62,center,3.6226878607643958,yes,19,control,5.5,7.5,6,3,6,5,6,7,6,4,8,8
140,58,left,2.9544781747555677,no,17,positive,5,5,5,3,5,4,5,5,5,6,3,7
141,26,center,3.4578347988842943,yes,17,negative,3.75,4.75,3,1,7,4,4,5,3,6,4,5
142,49,center,4.114642710927487,yes,18,positive,5.5,5.25,5,7,5,5,6,6,4,5,4,5
143,20,center,4.964961658383699,no,4,negative,3.5,1,3,2,7,4,3,1,1,10,1,1
144,29,center,3.2977520071607964,no,14,control,4.75,4,5,2,6,4,5,4,3,7,3,5
145,40,right,5.386946029815573,yes,14,control,4.25,3.75,4,1,6,4,4,3,1,7,3,5
146,42,right,4.8501070142181275,yes,17,control,4,3.75,4,1,6,3,4,3,3,7,4,4
147,37,center,4.761940838652655,no,14,negative,5,3,5,4,5,4,5,3,3,8,3,3
148,57,right,4.5092111784255575,yes,18,control,4.25,3.75,4,2,6,3,5,3,3,7,3,5
149,48,center,4.8544340722385915,no,11,positive,5,5.75,5,6,5,3,6,5,2,5,5,7
150,34,center,5.7976641116193015,no,15,positive,5.75,5,5,1,5,5,7,5,5,5,4,5
151,22,center,4.9395455621045254,no,10,positive,5.5,5.25,5,3,4,4,6,5,3,6,5,6
152,39,right,3.1935930299973863,yes,14,negative,4.25,4.5,4,1,7,4,5,4,1,5,3,5
153,21,right,3.8899175375906783,no,9,positive,2.5,4.75,2,1,8,3,2,5,5,6,4,5
154,49,right,4.045449315606563,yes,18,positive,3,3.5,2,4,8,3,4,4,2,7,2,4
155,27,right,3.679131869995508,no,14,control,4.5,5.5,5,2,6,4,4,5,3,5,4,7
156,33,left,5.488797482370037,yes,16,control,4.75,5.25,5,4,6,4,5,5,1,6,5,6
157,43,right,3.707223907211364,yes,17,positive,3.5,4,3,4,7,3,4,4,1,8,4,5
158,35,center,3.56429661686409,yes,15,control,4.5,4.5,4,3,6,4,5,5,1,6,3,5
159,40,center,5.888739976315115,no,8,control,5.25,3.75,5,2,6,6,5,4,3,8,3,5
160,28,left,3.8841851658949706,no,11,positive,5,5.75,5,4,6,5,5,6,1,5,4,7
161,30,right,4.6437158536477,no,13,positive,3.5,2.75,3,3,7,3,4,3,2,8,2,3
162,62,left,4.904147034198067,yes,19,positive,7.75,8,8,4,4,7,9,7,6,2,7,9
163,33,center,5.244997829261671,no,9,positive,2.25,4,2,2,9,2,3,4,1,6,3,4
164,37,right,4.190589257647606,no,8,positive,2,2.5,2,1,9,2,2,3,3,9,2,3
165,64,center,3.0365173959067002,yes,20,control,4.75,5.25,5,3,7,4,6,5,3,6,5,6
166,49,left,5.21283542245383,yes,17,negative,5,5.25,4,3,5,5,5,5,2,5,4,6
167,57,center,4.486549854369171,no,6,negative,3.5,2.5,3,5,7,3,4,3,4,8,2,2
168,23,right,5.544416672442127,no,12,negative,2.75,1,3,1,8,2,3,1,1,10,1,1
169,35,center,2.3019639427977974,yes,14,positive,5,4.75,4,5,6,5,6,5,3,6,4,5
170,57,center,5.070315162762529,yes,18,control,5.25,6.25,5,4,6,5,6,6,3,4,5,7
171,54,left,2.923570357983464,yes,18,positive,6.25,5.25,6,6,5,6,7,5,3,6,5,6
172,55,left,3.6907892542388985,yes,19,control,4.25,4.25,4,3,7,5,4,5,4,6,3,4
173,36,right,6.245235395008383,no,15,positive,3.5,4.25,4,1,7,3,3,4,3,7,4,5
174,28,center,4.140307358952451,no,2,positive,4.25,4.25,4,1,6,4,4,4,3,6,3,5
175,48,left,3.298790207232614,yes,16,control,6,7,6,2,4,5,6,7,6,3,6,7
176,31,right,3.849998263672889,no,7,positive,2.75,3,3,4,8,2,3,3,1,8,3,3
177,58,right,5.299811700768139,no,9,control,4,4.75,4,1,6,3,4,5,4,6,4,5
178,31,right,5.498813647737003,yes,13,positive,3.25,4,3,1,7,3,3,4,1,7,4,4
179,27,right,4.0914050955153005,no,13,negative,2.25,1,3,1,9,2,2,1,2,10,1,1
180,48,left,2.1959048912487207,yes,18,positive,3,3.25,3,1,8,2,4,3,2,8,4,3
181,42,right,3.4150875372618845,no,12,negative,5.5,2.25,5,4,5,5,6,2,1,9,2,3
182,52,left,3.7265766951499084,yes,17,negative,6,5,6,6,4,4,7,5,5,6,5,5
183,33,right,2.080618910547842,no,15,control,3.25,2.75,3,4,8,3,4,3,1,8,2,3
184,36,center,3.941557052552056,yes,13,negative,5.25,5.5,5,6,5,4,6,5,4,5,5,6
185,53,left,4.834789533495366,yes,17,negative,4.75,3.5,5,2,6,4,5,4,1,8,3,4
186,25,right,4.266692178383934,no,10,control,4,3.5,4,4,7,4,4,4,3,7,2,4
187,1987,left,3.659819195635716,yes,14,control,4.5,4.75,4,1,6,4,5,5,4,6,4,5
188,45,center,5.625982247325326,no,16,control,4.75,3.25,4,2,6,5,5,3,2,7,3,3
189,31,center,3.941806575521385,no,16,positive,4,4.75,4,2,7,3,5,5,1,7,4,6
190,22,left,3.865448518650108,no,15,control,4.5,3.25,4,1,6,4,5,3,4,8,3,4
191,24,right,3.793325813564919,yes,16,control,3.5,3.5,3,3,7,3,4,3,1,8,3,5
192,63,center,3.9632342700278285,yes,19,positive,5.75,6.25,5,3,5,6,6,6,5,4,5,7
193,31,center,2.6109032707616615,no,12,negative,3.25,2.5,3,1,8,3,4,2,3,8,2,3
194,23,left,3.217189959223746,no,12,negative,5.5,2.5,5,4,5,5,6,2,4,8,2,3
195,31,right,6.058827117640528,yes,15,positive,2.25,1.5,2,2,9,3,2,2,2,10,1,2
196,19,center,4.403375400939115,no,15,negative,3.5,1.5,3,3,8,3,5,2,1,10,1,2
197,55,left,5.431809073246192,yes,17,control,3.75,3,3,1,6,3,4,2,1,8,3,4
198,42,left,3.1283538684676833,yes,18,positive,6,7.25,6,4,5,6,6,7,1,3,6,8
199,38,center,3.365289861512096,yes,14,control,4.75,4.75,5,1,7,4,6,4,5,6,5,5
200,52,left,4.599119599881574,yes,16,control,6.5,6,6,5,4,6,7,6,5,6,6,7
201,40,left,3.744954641756993,yes,15,positive,4.5,3.75,4,1,6,4,5,4,2,7,3,4
202,36,center,3.8928694717612005,no,12,negative,5.25,3.75,6,7,5,3,6,2,1,6,4,4
203,49,right,5.497342459911064,yes,19,negative,3.75,3.25,3,3,7,4,4,3,1,8,3,4
204,25,right,4.683668663508808,no,10,control,2.75,2,3,1,8,2,3,2,1,9,2,2
205,27,right,5.043454109081074,yes,16,negative,4,5.5,4,2,7,4,4,5,5,5,5,6
206,58,right,4.281594287258088,yes,16,positive,5.25,5.5,5,1,5,5,5,5,4,5,5,6
207,39,center,4.7863768599404235,yes,15,negative,3.75,1.5,3,3,6,3,4,1,1,9,1,2
208,33,left,5.601021556248736,no,11,positive,4.75,5.75,5,1,7,5,5,6,4,5,5,6
209,26,center,5.034384217394029,no,5,positive,5.5,6.5,6,3,5,4,6,7,3,4,5,7
210,33,right,3.694993196548311,yes,13,positive,2.75,4.25,2,2,8,3,3,4,4,7,4,5
211,64,center,4.600711673251008,yes,17,negative,5.5,5,5,3,5,5,6,5,2,6,4,6
212,60,right,3.7327902300119082,no,11,positive,3.25,3.5,4,1,9,3,4,3,3,7,3,4
213,52,left,4.719554077603799,no,9,negative,4.25,3.5,5,4,8,4,5,3,2,8,4,4
214,30,left,2.4236391143354847,no,13,negative,4.25,3.75,4,4,6,4,4,4,1,7,3,4
215,50,center,2.0283676280599057,yes,15,control,5.25,6.25,5,1,5,4,6,6,5,4,5,7
216,21,left,3.6054698568721113,yes,15,negative,4.5,4,4,2,6,4,5,4,2,7,3,5
217,49,center,1.9591756842210373,no,15,control,3.5,2.5,3,1,7,3,4,2,1,9,3,3
218,49,right,3.8958678736103707,yes,17,positive,4.25,4,4,1,6,3,5,4,4,7,3,5
219,22,left,3.818489760807439,no,11,negative,5.5,6,6,5,6,5,6,6,5,5,5,7
220,44,center,3.4306778077723155,no,10,negative,3.5,3.25,4,1,7,2,4,3,1,7,3,3
221,57,right,2.212009610949343,yes,18,negative,4.75,5.5,5,4,6,4,5,6,6,5,4,6
222,27,center,3.7806141941611773,yes,14,positive,3.75,4.25,3,1,6,3,4,5,2,8,4,5
223,57,right,5.195981912873856,yes,15,negative,5.25,5.5,6,4,6,4,6,5,4,6,6,6
224,19,right,4.1752275202232525,no,12,negative,4,3,4,5,8,4,5,3,4,8,3,3
225,50,center,7,yes,20,positive,4.75,5.5,5,3,6,4,5,5,2,5,5,6
226,40,right,3.8920736443832693,yes,17,positive,4,3.5,4,1,8,4,5,3,3,8,4,4
227,29,right,4.103375657446667,yes,14,control,2.25,1.25,2,3,8,2,2,1,1,9,1,1
228,48,left,5.463772243573078,no,16,positive,7.25,8.5,7,3,4,7,8,9,6,2,7,9
229,34,center,2.0948052861731092,no,10,control,3.5,3.75,3,4,8,3,5,4,3,8,4,4
230,60,right,3.7040467777717843,yes,19,positive,3.5,4,3,4,7,3,4,3,5,6,4,4
231,45,center,3.2874724438511165,yes,17,control,4.25,5,4,3,6,4,4,4,1,5,5,5
232,47,right,4.932626135209171,yes,16,positive,4,6.25,4,3,7,4,4,6,2,6,7,7
233,29,right,2.7564261508438626,yes,16,positive,3.75,5.5,4,2,7,3,4,5,5,5,5,6
234,27,center,3.3260986198310407,no,11,positive,4.25,5.25,4,1,6,3,5,5,3,6,5,6
235,31,center,4.237920920229019,yes,15,negative,5,4.75,5,5,6,5,5,4,1,5,4,5
236,34,left,3.210010333938409,yes,14,control,6,5.25,6,4,5,5,7,6,1,6,4,6
237,64,center,3.3475758125927193,yes,17,control,6.25,7.5,6,3,5,6,7,7,6,3,7,8
238,62,right,3.998109412491809,yes,18,positive,4.25,4.25,4,2,6,4,4,4,2,6,4,4
239,61,center,4.143779663262152,yes,19,control,4.5,6,4,1,7,4,6,6,2,5,5,7
240,28,center,3.5886933575875464,no,5,control,4,3.75,4,2,6,3,4,3,5,7,3,5
241,44,center,3.043124336404521,no,13,positive,5.5,5,6,2,6,5,6,5,4,5,3,6
242,21,center,4.513406517280303,no,11,control,2.5,1.5,2,1,9,3,3,1,4,9,1,2
243,62,left,3.4566609161318973,no,10,control,5.75,6,6,3,5,5,6,6,1,4,5,6
244,47,left,3.1810518057159793,no,17,positive,5.25,4.25,5,1,5,5,5,4,5,7,4,5
245,61,center,3.5968417108500024,yes,19,positive,4.75,6.75,5,3,6,4,5,6,5,3,6,7
246,46,center,2.445609054918575,no,13,negative,2.5,1.75,2,1,8,3,2,2,1,10,2,2
247,43,right,3.053900457577539,no,11,negative,2.5,1,2,3,8,2,3,1,1,10,1,1
248,64,center,1.4227066491114837,yes,20,negative,5.25,2.5,5,3,5,4,6,2,5,9,3,3
249,59,center,3.6046733897384704,yes,18,control,5.25,4.25,5,5,4,4,5,4,3,6,4,4
250,40,right,4.267024077486198,no,16,positive,3.75,4.25,3,2,6,3,4,4,3,7,4,5
251,35,left,2.481425225515186,no,14,positive,4.75,6.5,4,1,7,5,6,6,5,4,6,7
252,49,center,5.188112171182174,yes,16,positive,4.5,5,4,3,7,5,5,5,1,6,4,6
253,25,left,4.059176242478834,no,11,negative,5.75,4.25,6,5,4,4,6,4,1,7,4,5
254,33,left,4.7422941693935705,no,10,negative,4.5,4.5,4,3,6,4,5,5,1,6,4,4
255,60,right,4.387781168092042,yes,17,positive,4.5,5.25,4,4,6,4,5,5,3,5,5,5
256,41,center,4.510701377794987,yes,16,positive,4.5,4.25,5,3,7,4,5,4,4,7,4,5
257,55,center,4.164052791151762,yes,17,negative,5.75,6.5,4,4,4,6,6,6,3,5,7,7
258,35,left,4.081730125044824,no,14,positive,4.75,2.5,5,3,6,4,5,3,1,9,3,2
259,35,left,4.41818348447395,yes,15,negative,4.75,5,5,3,6,4,5,5,4,6,5,5
260,58,center,5.608056762795842,no,15,control,4,4.5,4,1,7,3,5,4,1,7,4,6
261,26,center,3.5878559415671547,no,4,negative,3.5,3.25,3,1,7,4,3,4,2,7,2,3
262,62,center,2.5853549964119025,yes,19,positive,6,7,6,3,4,5,6,6,5,3,7,7
263,36,center,4.37077663192414,yes,15,positive,5.5,6.25,5,4,4,4,6,6,4,4,5,7
264,49,left,3.4383511090729573,yes,16,positive,5.5,4.25,5,6,5,5,6,4,2,6,3,5
265,41,left,4.030555022937212,no,8,control,4.25,4.5,4,3,7,4,5,4,6,6,4,5
266,36,right,4.836858416673026,yes,14,control,3.75,4.5,4,1,7,3,4,5,3,7,4,5
267,41,center,3.3758395416473364,no,17,positive,3.75,5,4,3,8,3,5,5,2,6,5,5
268,20,right,5.131548744692513,no,13,negative,1.75,1,2,1,9,1,2,1,1,10,1,1
269,25,right,3.8764610509512174,yes,13,positive,2.75,1.5,3,1,8,2,3,1,1,9,1,2
270,NA,right,3.007885513282568,no,13,positive,4.5,6.5,5,3,7,4,5,6,4,3,6,6
271,52,right,4.353736670853243,no,15,negative,3.25,1,3,3,8,3,4,1,1,10,1,1
272,54,center,4.721894067574746,yes,18,positive,5.5,7,6,4,5,4,6,7,2,4,5,9
273,32,right,4.256599531537656,no,12,control,4.5,4.5,4,2,6,4,5,5,4,7,4,5
274,51,right,2.71741879190882,yes,17,negative,4.25,2.75,4,1,7,4,5,3,4,8,2,3
275,29,left,2.0061632865343038,no,12,positive,4.25,5.75,4,4,7,4,5,5,8,4,5,6
276,31,right,2.31526679154156,yes,16,positive,4.5,3.75,4,2,6,4,5,3,4,7,4,4
277,17,left,3.6168575718092555,yes,15,control,6,6.25,6,1,4,5,6,7,4,5,5,7
278,43,left,5.4805784758057845,yes,18,positive,7.25,7.5,7,4,3,6,8,7,5,2,7,7
279,62,left,3.9411219328728766,yes,19,negative,6.5,7.5,6,3,4,6,7,8,3,3,6,8
280,34,right,4.562184677631918,no,8,control,4.5,4.5,4,3,6,4,5,4,3,5,4,4
281,20,right,4.588254673120996,no,17,positive,5,5.5,5,5,5,4,5,5,4,4,4,6
282,24,left,5.497258589877557,no,11,control,4,4,3,3,7,4,5,4,1,6,3,4
